,Date,Open,High,Low,Close,Volume,Market Cap
0,,,,,,,
1,"Mar 29, 2018",0.042066,0.042516,0.036156,0.036915,"37,122,800","621,181,000"
2,"Mar 28, 2018",0.039952,0.043453,0.039238,0.041806,"29,638,700","589,806,000"
3,"Mar 27, 2018",0.045505,0.054977,0.039841,0.039978,"180,361,000","671,591,000"
4,"Mar 26, 2018",0.040832,0.046922,0.035033,0.044531,"65,555,900","602,454,000"
5,"Mar 25, 2018",0.044403,0.044403,0.039587,0.040702,"31,131,800","654,974,000"
6,"Mar 24, 2018",0.038876,0.048593,0.038624,0.044792,"77,655,800","573,290,000"
7,"Mar 23, 2018",0.038680,0.040045,0.034653,0.038361,"54,250,800","570,231,000"
8,"Mar 22, 2018",0.033559,0.041068,0.030641,0.039266,"46,181,500","494,601,000"
9,"Mar 21, 2018",0.034894,0.036593,0.032496,0.033628,"10,398,000","514,135,000"
10,"Mar 20, 2018",0.031634,0.035473,0.030078,0.034810,"11,984,800","465,980,000"
11,"Mar 19, 2018",0.029721,0.031761,0.028708,0.031449,"9,011,470","437,676,000"
12,"Mar 18, 2018",0.028406,0.030320,0.023956,0.029510,"9,843,710","418,196,000"
13,"Mar 17, 2018",0.033076,0.033081,0.028070,0.028408,"6,718,990","486,805,000"
14,"Mar 16, 2018",0.031614,0.034847,0.030283,0.032892,"14,059,300","465,157,000"
15,"Mar 15, 2018",0.031363,0.031776,0.027721,0.031201,"9,724,440","461,339,000"
16,"Mar 14, 2018",0.036160,0.037727,0.030236,0.031378,"8,475,110","531,762,000"
17,"Mar 13, 2018",0.037394,0.038808,0.035825,0.036173,"6,449,030","549,755,000"
18,"Mar 12, 2018",0.039078,0.040894,0.035862,0.037688,"8,081,210","574,353,000"
19,"Mar 11, 2018",0.036216,0.039858,0.034626,0.039274,"7,920,510","532,268,000"
20,"Mar 10, 2018",0.039218,0.042399,0.035577,0.036487,"11,953,300","576,083,000"
21,"Mar 09, 2018",0.038541,0.039392,0.032264,0.039227,"13,440,500","565,992,000"
22,"Mar 08, 2018",0.043104,0.043716,0.038421,0.038908,"10,226,700","632,813,000"
23,"Mar 07, 2018",0.049088,0.051381,0.038953,0.043275,"23,510,800","720,479,000"
24,"Mar 06, 2018",0.054755,0.054755,0.048673,0.049115,"12,829,900","803,432,000"
25,"Mar 05, 2018",0.056107,0.057071,0.054316,0.054430,"14,381,500","823,028,000"
26,"Mar 04, 2018",0.055704,0.057338,0.053960,0.056533,"13,547,200","816,890,000"
27,"Mar 03, 2018",0.059608,0.059868,0.055483,0.055918,"18,436,600","873,904,000"
28,"Mar 02, 2018",0.058890,0.064675,0.058359,0.059960,"52,483,700","863,144,000"
29,"Mar 01, 2018",0.053702,0.065946,0.052975,0.058374,"72,097,200","786,877,000"
30,"Feb 28, 2018",0.060107,0.062274,0.053547,0.053547,"18,267,000","880,480,000"
31,"Feb 27, 2018",0.061082,0.062182,0.058398,0.060123,"17,610,400","894,523,000"
